location,name,telefon lub inny kontakt,status,www1,last_activity_date,www2,email1,email2,address,city,date_created_text,description,dzien,miesiac,year_created,date_created,year_expired,full_address,lon,lat
Warszawa,FabLab Wbijaj,536 100 005,aktywny,https://www.facebook.com/FabLab-Wbijaj- 531654943871936/,2022-05-11T00:00:00Z,http://www.fablabwbijaj.pl/,fablabwbijaj@rodzinnawarszawa.pl,NA,Stara 4,Warszawa,13 grudnia 2017,"Wszystkie osoby, które chcą nas odwiedzić prosimy o zapoznanie się z nowymi zasadami pracy, regulaminem oraz wypełnienie oświadczenia. Wszystkie dokumenty są dostępne na naszej stronie 👉 http://www.fablabwbijaj.pl/fablab",13,12,2017,2017-12-13T00:00:00Z,2022,Stara 4 Warszawa Poland,21.010935,52.25295209999999
Warszawa,Wióry Lecą,698 643 664,aktywny,https://www.facebook.com/wioryleca/,2022-01-19T00:00:00Z,http://wioryleca.pl/,kontakt@wioryleca.pl,NA,NA,Warszawa,11 lutego 2014,"Warsztaty i kursy stolarki, tapicerki i renowacji mebli.",11,2,2014,2014-02-11T00:00:00Z,2022,NA Warszawa Poland,21.0122287,52.2296756
Warszawa,Męska Szopa Warszawa Włochy,536 318 712,aktywny,https://www.facebook.com/meskaszopa/,2022-04-20T00:00:00Z,NA,biuro@fundacjarumianka.pl,NA,Rybnicka 27 02-405,Warszawa,25 sierpnia 2016,"ierwsza w Polsce Męska Szopa to miejsce nie tylko
dla mężczyzn, wyposażony warsztat do wspólnej majsterki. Dostęp do szopy jest bezpłatny. Szopą zarządza Fundacja im.ks.prof. Ryszarda Rumianka.",25,8,2016,2016-08-25T00:00:00Z,2022,Rybnicka 27 02-405 Warszawa Poland,20.9045923,52.2070191
Warszawa,Miasto szkutnia,603 638 390,aktywny,https://www.facebook.com/miastoszkutnia/,2022-05-11T00:00:00Z,http://miastoszkutnia.pl/,biuro@miastoszkutnia.pl,NA,Wybrzeże Gdyńskie 2 01-531,Warszawa,25 października 2014,"Tworzymy otwarty warsztat, miejsce spotkań ludzi kreatywnych. Jeżeli chcesz dobrze spędzić czas i samemu wykonać coś z drewna masz już wszystko czego trzeba – chęci. Resztą zajmujemy się my, zapewniamy narzędzia, materiały i wiedzę. Gwarantujemy Wam dobrą atmosferę i ogromną satysfakcję z tego, co zrobicie własnymi rękoma. Chcemy zarażać ludzi pasją do szeroko pojętego majsterkowania. U nas zaczęło się to od miłości do wody i drewna – przerodziło się w warsztat, w którym budujemy kajaki, łódki czy nowości takie jak paddleboard. Dlatego też znajdujemy się nad samą Wisłą. Mimo naszego ukierunkowania jesteśmy otwarci na wszelkie rękodzieło z drewna – nie musi pływać, ważne żeby dawało radość!",25,10,2014,2014-10-25T00:00:00Z,2022,Wybrzeże Gdyńskie 2 01-531 Warszawa Poland,21.0013003,52.2696338
Warszawa,Fabryka Stolarzy,502 571 017,aktywny,https://www.facebook.com/fabrykastolarzy/,2022-03-11T00:00:00Z,fabrykastolarzy.pl,kontakt@fabrykastolarzy.pl,NA,"Piękna 1, Zakret",Warszawa,8 stycznia 2016,"Warsztaty i kursy stolark. Jako doświadczona pracownia stolarska chcemy zachęcić do zdobywania nowych umiejętności zarówno absolwentów szkół jak i każdego pasjonata rękodzieła. Przygotowaliśmy szeroką ofertę kursów, w której każdy znajdzie najlepszy dla siebie sposób zdobywania wiedzy i umiejętności praktycznych w stolarstwie i ciesielstwie. W naszej pracy wykorzystujemy nowoczesne narzędzia i maszyny do obróbki drewna.

Proponujemy kursy stolarskie dla osób zainteresowanych stolarstwem, chcących rozwinąć swoje umiejętności oraz dla zawodowców. Z nami nauczysz się obróbki, klejenia, gięcia drewna. Poznasz sposoby zarządzania materiałem oraz procesy jego obróbki.",8,1,2016,2016-01-08T00:00:00Z,2022,"Piękna 1, Zakret Warszawa Poland",21.027316,52.2236912
Warszawa,Makerspace PL,-,nieaktywny,https://www.facebook.com/MakerspacePolska/,2019-11-26T00:00:00Z,NA,kontakt@makerspace.pl,NA,NA,Warszawa,15 sierpnia 2015,"Przestrzeń
Makerspace to przestrzeń, na której możesz realizować swoje własne pomysły. To miejsce, które rozwija Twoją kreatywność. Które daje Ci możliwość eksperymentowania, tworzenia, budowania. Które pozwala na popełnianie błędów i odnoszenie sukcesów. MakeSpace to przestrzeń, która pozwala Twojej twórczości rozwinąć się bez barier.
Ludzie
Makerspace to twórcy, majsterkowicze, rzemieślnicy i wszyscy ci, którzy znajdują uwielbienie w robieniu czegoś własnymi rękami. To wiedza i mądrość skupiona w jednym miejscu. Makerspace to wspierająca się społeczność, pozwalająca na wymianę wiedzy, inspirację, wzajemny rozwój. To przestrzeń współpracy, rozmów i wspólnej twórczości wykraczającej poza dyscypliny.
Narzędzia
Makerspace to narzędzia, których potrzebujesz do realizacji swojej pasji. To szeroki zestaw pomocy, dzięki którym Twoja twórczość rozwinie skrzydła. Makerspace to wiedza, jakich narzędzi używać jak to robić. Makerspace to dostęp do maszyn i technologii niedostępnych pod strzechami.
Makerspace – Przyjdź! Zrób!",15,8,2015,2015-08-15T00:00:00Z,2019,NA Warszawa Poland,21.0122287,52.2296756
Warszawa,Zblab,NA,aktywny,https://www.facebook.com/ZbLaB/,2022-05-11T00:00:00Z,NA,zblabzblab@gmail.com,NA,NA,Warszawa,24 marca 2013,"ZbLaB... czyli laboratorium Zbyszka.

ZbLaB... that is Zbyszek's laboratory.",24,3,2013,2013-03-24T00:00:00Z,2022,NA Warszawa Poland,21.0122287,52.2296756
Kraków,FabLab Małopolska,665 770 994,aktywny,https://www.facebook.com/fablabmalopolska/,2022-05-11T00:00:00Z,https://www.fablabmalopolska.pl/,fablab@fablabmalopolska.pl,labmalopolska@gmail.com,Królewska 65a 30-081,Kraków,9 sierpnia 2018,"FabLab Małopolska to warsztat kreatywnej pracy, w którym możesz m.in. szyć, majsterkować, wycinać, sklejać, konstruować, projektować i dobrze się bawić.",9,8,2018,2018-08-09T00:00:00Z,2022,Królewska 65a 30-081 Kraków Poland,19.9126166,50.0739205
Kraków,Hackerspace Kraków,12 444 75 67,aktywny,https://www.facebook.com/HackerspaceKrakow/,2022-05-11T00:00:00Z,hackerspace-krk.pl,info@hackerspace-krk.pl,NA,Zacisze 5/P1 31-156,Kraków,5 kwietnia 2012,"Tworzymy przestrzeń, w której możesz do woli pogłębiać swoją kreatywność. Jesteśmy hakerspejsem - otwartym dla lokalnej społeczności warsztatem, gdzie ludzie przychodzą uczyć się, tworzyć projekty i wymieniać wiedzą.",5,4,2012,2012-04-05T00:00:00Z,2022,Zacisze 5/P1 31-156 Kraków Poland,19.943334,50.066067
Kraków,Wytwórnia Kraków,790 546 294,aktywny,https://www.facebook.com/WytworniaKrakow/,2022-05-06T00:00:00Z,https://wytworniakrakow.pl/,kontakt@wytworniakrakow.pl,NA,NA,Kraków,10 marca 2013,"to otwarty warsztat, pracownia, co-work, makerspace - miejsce gdzie się robi i gdzie się dzieje.
Wytwórnia jest miejscem do pracy polegającej na projektowaniu, prototypowaniu i małej produkcji - otwartym warsztatem i pracownią. Jest to także miejsce spotkań, szkoleń, warsztatów, wymiany doświadczeń, pomysłów i inspiracji. Ale przede wszystkim Wytwórnia jest społecznością ludzi wytwarzających, chcących współpracować, uczyć się i dzielić swoją wiedzą i umiejętnościami.
Jesteśmy grupą znajomych kończących m.in uczelnie techniczne i artystyczne, zajmujących się projektowaniem przedmiotów użytkowych, interaktywnych instalacji oraz grafiki użytkowej. W pewnym momencie uświadomiliśmy sobie, że rynek nie odpowiada naszym potrzebom, możliwościom i założeniom. Cenimy pracę poza korporacją, otwarte oprogramowanie i maszyny, nowe technologie, a także współpracę z ciekawymi ludźmi.
Zdaliśmy sobie sprawę, że nie ma miejsca, w którym moglibyśmy pracować nad swoimi projektami, a w grupie możemy takie miejsce stworzyć.
Idea Wytwórni ewoluowała od miesięcy, zaczęliśmy od rejestracji stowarzyszenia, by w końcu dojrzeć do założenia otwartego warsztatu, oferującego podstawowe i specjalistyczne narzędzia do rapid prototypingu i nie tylko.
Zapraszamy wszystkich, którzy szukają miejsca do pracy, którym brakuje środków, przestrzeni, a nie brakuje pomysłów, do współtworzenia z nami Wytwórni!
W Wytwórni nie trzeba koniecznie wytwarzać - chcesz popracować nad modelem, polakierować ramę, wywołać film w ciemni, nagrać animację stop-motion, szyć ubrania, poprowadzić warsztaty z oprogramowania open source, albo po prostu poznać ciekawych ludzi? Pomożemy! :)
Ważne jest to, że Wytwórnia będzie zrzeszać ludzi świadczących różne, lecz komplementarne usługi. Jeden zajmuje się modelami 3D, drugi obróbką metalu, trzeci lakierowaniem - razem dla klienta stworzą dizajnerską kierownicę samochodową. Albo tablet? Grę komputerową w animacji poklatkowej z plasteliny, jak NeverHood? W planach! :)
Ponadto planujemy organizację warsztatów aktywizujących zawodowo (obsługa programów, narzędzi, prowadzenie działalności gospodarczej), oraz wydarzeń promujących produkty twórców.
W przyszłości chcemy stworzyć strefę kontaktów biznesowych i obsługi klienta (sala konferencyjna, miejsce spotkań itp.), jak i umożliwić zarejestrowania przez twórców ich działalności gospodarczej pod adresem Wytwórni wraz z obsługą administracyjną.",10,3,2013,2013-03-10T00:00:00Z,2022,NA Kraków Poland,19.9705367,50.0625627
Kraków,Garage of Complexity,12 664 47 88,aktywny,https://www.facebook.com/garageofcomplexity/,2022-05-11T00:00:00Z,NA,k.dziedzic-kocurek@uj.edu.pl,jakub.mielczarek@uj.edu.pl,NA,Kraków,21 stycznia 2015,The Garage of Complexity aims to be a place enabling both students and faculty members to work on a wide range of potentially interdisciplinary projects.,21,1,2015,2015-01-21T00:00:00Z,2022,NA Kraków Poland,19.9705367,50.0625627
Kraków,Warsztat Centralny,-,nieaktywny,https://www.facebook.com/warsztatnc/,2021-11-10T00:00:00Z,NA,wysłałem przez fb,NA,NA,Kraków,21 stycznia 2015,"Warsztat robót manualnych społeczności lokalnej Nowej Huty.
Prowadzony z inicjatywy Fundacji Nowe Centrum.",21,1,2015,2015-01-21T00:00:00Z,2021,NA Kraków Poland,19.9705367,50.0625627
Wrocław,PIN Workshop,-,nieaktywny,NA,2020-10-27T00:00:00Z,NA,piotr@baranowski.io,NA,NA,Wrocław,NA,NA,NA,NA,NA,NA,2020,NA Wrocław Poland,17.0385376,51.1078852
Wrocław,Tworzyciele Wrocław,-,nieaktywny,https://www.facebook.com/tworzycielewroclaw/,2020-09-08T00:00:00Z,NA,tworzycielewroclaw@gmail.com,NA,NA,Wrocław,9 grudnia 2014,"Tworzyciele Wrocław to inicjatywa artystów i rzemieślników, w ramach której organizujemy warsztaty rękodzieła oraz targi mody i designu we Wrocławiu
Jesteśmy grupą rzemieślników i artystów z Wrocławia. Naszym celem jest udostępnianie wiedzy z zakresu rękodzieła i sztuki poprzez warsztaty i kursy rzemieślnicze.
Organizujemy również Targi Mody i Designu, by promować lokalnych twórców rękodzieła.
Pobudzamy kreatywność, pomagamy rozwijać pasję i odkrywać w sobie nowe talenty :) Zapraszamy do współpracy!",9,12,2014,2014-12-09T00:00:00Z,2020,NA Wrocław Poland,17.0385376,51.1078852
Wrocław,Hackerspace wrocław,-,aktywny,https://www.facebook.com/HackerspaceWroclaw/,2022-05-11T00:00:00Z,http://hswro.org/,kontakt@hswro.org,NA,"Wróblewskiego 38, 51-627",Wrocław,20 marca 2012,Hackerspace Wrocław - otwarte centrum kreatywnej technologii.,20,3,2012,2012-03-20T00:00:00Z,2022,"Wróblewskiego 38, 51-627 Wrocław Poland",17.0864179,51.1044689
Wrocław,Męska Szopa Wrocław,609 660 132,nieaktywne,https://www.facebook.com/meskasszopawroclaw/,2018-07-08T00:00:00Z,NA,klubpolonia@poczta.fm,NA,Paulińska 16 50-247,Wrocław,1 lipca 2018,Męska Szopa to program wywodzący się z Australii i z wielkim powodzeniem funkcjonujący w wielu krajach świata. Na przekór nazwie to miejsce jest nie tylko dla mężczyzn. To obszar realizacji pasji i aspiracji twórczych jego bywalców.,1,7,2018,2018-07-01T00:00:00Z,2018,Paulińska 16 50-247 Wrocław Poland,17.0342103,51.1204724
Wrocław,Nokia Garage,-,NA,NA,NA,https://nokiagarage.pl/,hello@nokiagarage.pl,NA,NA,Wrocław,NA,"Nokia Garage w skrócie to ludzie, miejsce, technologia.
Wspólnie z naszą społecznością chcemy realizować konkretne działania, projekty i aktywności.",NA,NA,NA,NA,NA,NA Wrocław Poland,17.0385376,51.1078852
Trójmiasto,PoCoTo,796 986 801,NA,https://www.facebook.com/pocoto.eu/,2016-03-21T00:00:00Z,NA,NA,NA,NA,Trójmiasto,2 września 2010,NA,2,9,2010,2010-09-02T00:00:00Z,2016,NA Trójmiasto Poland,18.5406663,54.3919577
Trójmiasto,Hackerspace Trójmiasto,-,aktywny,https://www.facebook.com/hackerspacetrojmiasto/,2022-05-11T00:00:00Z,http://hs3.pl/,kontakt@hs3.pl,palysiewicz.miroslaw@gmail.com,"Wojska Polskiego 41, 80-268",Trójmiasto,27 czerwca 2016,"Hackerspace Trójmiasto jest otwartą i technologiczną przestrzenią zrzeszającą wszystkich, którzy chcą się rozwijać, dzielić wiedzą i budować wartościową społeczność.
Organizujemy niezliczone spotkania, warsztaty i hackathony. Rozwijamy projekty, uczymy się i tworzymy miejsce dla tych, którzy chcą się wspólne rozwijać i dzielić wiedzą. Tworzymy przestrzeń, w której kultura, technologie, bezpieczeństwo, edukacja i najnowsze trendy w branży IT idą ze sobą w parze.
Dołącz do nas na Meetup.com https://www.meetup.com/hs3city/ oraz na Discord, gdzie działamy wirtualnie: https://hs3.pl/join
Obecnie, w związku z COVID-19, nasza siedziba jest zamknięta, ale jak tylko warunki pozwolą wracamy również do życia w fizycznej przestrzeni.
",27,6,2016,2016-06-27T00:00:00Z,2022,"Wojska Polskiego 41, 80-268 Trójmiasto Poland",18.5817588,54.3896269
Gdynia,FabLab Trójmiasto,-,aktywny,https://www.facebook.com/FabLabT/,2022-05-11T00:00:00Z,http://www.FabLabT.org/,biuro.fablabt@gmail.com,NA,"Al. Zwycięstwa 291, 81-525",Gdynia,5 marca 2013,"Tu idee stają się rzeczywistością! Poznaj niesamowitych ludzi i rozwiń umiejętności niezbędne w XXI wieku.
Fab Lab Trójmiasto to kreatywna społeczność, która daje ludziom dostęp do miejsca, programów i narzędzi, potrzebnych do tworzenia technologii i zbudowania (prawie) wszystkiego. Tutaj poznasz niesamowitych ludzi i rozwiniesz umiejętności niezbędne w XXI wieku.",5,3,2013,2013-03-05T00:00:00Z,2022,"Al. Zwycięstwa 291, 81-525 Gdynia Poland",18.5574365,54.4737587
Gdańsk,Otwarty warsztat 4rest,-,NA,https://www.facebook.com/4Rest.Upcykling/,2022-05-11T00:00:00Z,NA,info@4rest.org.pl,NA,NA,Gdańsk,3 października 2015,NA,3,10,2015,2015-10-03T00:00:00Z,2022,NA Gdańsk Poland,18.6466384,54.35202520000001
Lublin,Hackerspace Lublin,-,nieaktywny,https://www.facebook.com/hackerspacelbn/,2020-11-05T00:00:00Z,NA,fundacja@hackerspace-lbn.pl,NA,NA,Lublin,21 maja 2013,"Hackerspace to przestrzeń stworzona i utrzymywana przez grupę kreatywnych osób, które łączy fascynacja ogólno pojętym tworzeniem w duchu kultury hackerskiej.
Naszym celem jest propagowanie idei DIY (“Zrób to sam”), zależy nam na rozwoju Lublina i jego mieszkańców poprzez edukację, oraz pośrednie przyczynianie się do rozwoju technologicznego i powstawania nowych, wysoko wyspecjalizowanych firm i miejsc pracy w Lublinie.
W ramach naszej fundacji chcemy zająć się między innymi: edukacją techniczną dzieci i młodzieży, organizowaniem konferencji naukowych i technicznych w Lublinie, rozwijaniem technologii związanych z automatyką, technologiami ekologicznymi, technologiami odnawialnych źródeł energii oraz robotyką.",21,5,2013,2013-05-21T00:00:00Z,2020,NA Lublin Poland,22.5747275,51.2509458
Zabrze,FabLab Silesia,720 120 720,aktywny,https://www.facebook.com/FabLabSilesia/,2022-02-05T00:00:00Z,NA,fablab.silesia@gmail.com bob@fajna.eu,NA,"Roosevelta 118 B, 41-800",Zabrze,31 lipca 2016,"FabLab Silesia - MakerSpace Fab Lab Silesia
Masz fajny pomysł, szukasz miejsca dla jego realizacji, lubisz pracować i poznawać ciekawych ludzi?
Skontaktuj się z nami.",31,7,2016,2016-07-31T00:00:00Z,2022,"Roosevelta 118 B, 41-800 Zabrze Poland",18.7625197,50.293534
Wisła Czarne,FabLab Wisła Czarne,600 819 782,aktywny,https://www.facebook.com/Fablabwisla/,2021-11-26T00:00:00Z,http://fablab.wisla.pl/,kontakt@fablab.wisla.pl,NA,"Biała Wisełka 6, 43-460",Wisła Czarne,10 stycznia 2014,"Fab Lab, czyli Fabrication Laboratory to rodzaj małego laboratorium czy pracowni, w której można zmienić swoje projekty w realne, namacalne rzeczy.
Zajęcia w FabLab odbywają się we wtorki i czwartki w godzinach od 17.00 do 19.00 - ZAPRASZAMY!!!",10,1,2014,2014-01-10T00:00:00Z,2021,"Biała Wisełka 6, 43-460 Wisła Czarne Poland",18.942686900000002,49.6207503
Bydgoszcz,Pracownia Bydgoszcz,888 063 363,NA,https://www.facebook. com/stowarzyszeniepracownia/,2022-02-08T00:00:00Z,https://www.pracownia.team,poczta@pracownia.team,NA,NA,Bydgoszcz,10 czerwca 2017,"Wolna przestrzeń dla wszystkich, którzy chcą zmaterializować swoje pomysły, zwłaszcza te, na które w domu nie ma miejsca,
Otwarty warsztat rzemiosła wszelakiego z dostępem do narzędzi i maszyn,
Płaszczyzna spotkań dla projektantów, rzemieślników, artystów, pasjonatów, specjalistów i domowych majstrów.",10,6,2017,2017-06-10T00:00:00Z,2022,NA Bydgoszcz Poland,18.0135302,53.1108829
Lublin,FabLab Lublin,792 050 716,NA,https://www.facebook.com/fablablublin/,2018-01-28T00:00:00Z,http://fablablublin.pl/,core@fablablublin.pl,NA,NA,Lublin,20 sierpnia 2013,"FabLab Lublin: Warsztat, Laboratorium, Komunikacja, Edukacja
Czym jest FabLAB w wydaniu Lubelskim?
Jest przestrzenią w której można będzie zrobić niemal wszystko.
Coś o NAS?
Nasza inicjatywa wpisuje się w tworzący się intensywnie ruch/nurt „Makerspace” i Twórczość DIY. Chcemy stworzyć miejsce, w którym prócz przestrzeni twórczej będziemy mieć również bazę narzędzi. Pragniemy mieć wpływ na to, co posiadamy: tworzyć rzeczy użyteczne i piękne. Każdy z nas ma inne zainteresowania i inną wizję, ale łączy nas postawa niezadowolenia na zastaną rzeczywistość. Nie zgadzamy sie na galopujący konsumpcjonizm, zalew tandetnej chińszczyzny, dyktat reklamy. Chcemy aktywnie tworzyć swoje dalsze i bliższe otoczenie. Mamy zamiar odtwarzać stare i sprawdzone technologie i umiejętności, oraz tworzyć i testować nowe rozwiązania. Pragniemy się uczyć i szeroko dzielić naszą wiedzą: tą którą mamy i tą którą nabędziemy. Jesteśmy otwarci na wiedzę.
Pojedynczo nie jesteśmy w stanie wyposażyć i stworzyć odpowiedniego warsztatu, ale razem damy radę. Wspólnie jesteśmy bardziej twórczy i mamy większą wiedzę.
Chcemy stworzyć społeczność ludzi twórczych, zainteresowanych nowymi formami współżycia miejskiego, jak pewna forma współwłasności i współ-korzystania (przestrzeń, wyposażenie warsztatu), samorozwój polegający na czerpaniu wiedzy od siebie nawzajem i wymianie intelektualnej.
Co moglibyśmy zaproponować społeczeństwu?
- Przede wszystkim bazę ludzi - twórców.
- Bazę wiedzy i umiejętności. Te dwie korzyści razem dają nieograniczone możliwości: szerzenia wiedzy na zewnątrz, pomocy przy projektach tak indywidualnych jak i zbiorowych, itd.
- Bazę maszyn, sprzętów, przestrzeń twórczą.
- funkcję edukacyjną: od wzorców zachowań, idei, po poszczególne umiejętności praktyczne.
- w przyszłości, być może nowatorskie rozwiązania, ciekawe idee, przedsiębiorstwa (?)
Co chcemy robić?
- wskrzeszać stare i zapomniane umiejętności, jak np. szycie butów czy tkactwo
- tworzyć, budować i projektować maszyny
- siać i sadzić, pielęgnować: stworzyć ogród roślin jadalnych
- testować ciekawe ekologiczne i ekonomiczne rozwiązania (jak np. budowa domów metodą strawbale, piecy, alternatywnych, ekologicznych generatorów energii, czy toalety kompostowej)
- konstruować meble, sprzęty domowe i elektroniczne,
- szyć, dziergać, wyszywać i przerabiać (re-use & recycle)
- „pracę u podstaw” - dobrą wiedzę szerzyć w społeczeństwie poprzez różnego rodzaju warsztaty, pokazy, pogadanki.


",20,8,2013,2013-08-20T00:00:00Z,2018,NA Lublin Poland,22.5747275,51.2509458
Sokołowsko,Pralnia w Sokołowsku,-,NA,https://www.facebook.com/PralniaSokolowsko/,NA,NA,a.bledowska@gmail.com,NA,NA,Sokołowsko,NA,NA,NA,NA,NA,NA,NA,NA Sokołowsko Poland,16.2351322,50.6863986
